"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 500","31 Dec 2021","-","-","-","10493.76"
"NIFTY SMALLCAP 500","30 Dec 2021","-","-","-","10377.56"
"NIFTY SMALLCAP 500","29 Dec 2021","-","-","-","10366.69"
"NIFTY SMALLCAP 500","28 Dec 2021","-","-","-","10309.37"
"NIFTY SMALLCAP 500","27 Dec 2021","-","-","-","10161.70"
"NIFTY SMALLCAP 500","24 Dec 2021","-","-","-","10122.94"
"NIFTY SMALLCAP 500","23 Dec 2021","-","-","-","10188.11"
"NIFTY SMALLCAP 500","22 Dec 2021","-","-","-","10110.83"
"NIFTY SMALLCAP 500","21 Dec 2021","-","-","-","9949.97"
"NIFTY SMALLCAP 500","20 Dec 2021","-","-","-","9833.40"
"NIFTY SMALLCAP 500","17 Dec 2021","-","-","-","10196.34"
"NIFTY SMALLCAP 500","16 Dec 2021","-","-","-","10438.33"
"NIFTY SMALLCAP 500","15 Dec 2021","-","-","-","10536.59"
"NIFTY SMALLCAP 500","14 Dec 2021","-","-","-","10573.39"
"NIFTY SMALLCAP 500","13 Dec 2021","-","-","-","10542.40"
"NIFTY SMALLCAP 500","10 Dec 2021","-","-","-","10537.84"
"NIFTY SMALLCAP 500","09 Dec 2021","-","-","-","10442.28"
"NIFTY SMALLCAP 500","08 Dec 2021","-","-","-","10354.99"
"NIFTY SMALLCAP 500","07 Dec 2021","-","-","-","10206.49"
"NIFTY SMALLCAP 500","06 Dec 2021","-","-","-","10083.56"
"NIFTY SMALLCAP 500","03 Dec 2021","-","-","-","10219.06"
"NIFTY SMALLCAP 500","02 Dec 2021","-","-","-","10156.45"
"NIFTY SMALLCAP 500","01 Dec 2021","-","-","-","10039.97"
"NIFTY SMALLCAP 500","30 Nov 2021","-","-","-","10005.62"
"NIFTY SMALLCAP 500","29 Nov 2021","-","-","-","9840.52"
"NIFTY SMALLCAP 500","26 Nov 2021","-","-","-","10092.40"
"NIFTY SMALLCAP 500","25 Nov 2021","-","-","-","10399.25"
"NIFTY SMALLCAP 500","24 Nov 2021","-","-","-","10300.70"
"NIFTY SMALLCAP 500","23 Nov 2021","-","-","-","10243.73"
"NIFTY SMALLCAP 500","22 Nov 2021","-","-","-","10041.61"
"NIFTY SMALLCAP 500","18 Nov 2021","-","-","-","10337.49"
"NIFTY SMALLCAP 500","17 Nov 2021","-","-","-","10504.03"
"NIFTY SMALLCAP 500","16 Nov 2021","-","-","-","10509.61"
"NIFTY SMALLCAP 500","15 Nov 2021","-","-","-","10478.71"
"NIFTY SMALLCAP 500","12 Nov 2021","-","-","-","10530.55"
"NIFTY SMALLCAP 500","11 Nov 2021","-","-","-","10515.40"
"NIFTY SMALLCAP 500","10 Nov 2021","-","-","-","10566.15"
"NIFTY SMALLCAP 500","09 Nov 2021","-","-","-","10575.05"
"NIFTY SMALLCAP 500","08 Nov 2021","-","-","-","10523.27"
"NIFTY SMALLCAP 500","04 Nov 2021","-","-","-","10440.73"
"NIFTY SMALLCAP 500","03 Nov 2021","-","-","-","10294.84"
"NIFTY SMALLCAP 500","02 Nov 2021","-","-","-","10331.65"
"NIFTY SMALLCAP 500","01 Nov 2021","-","-","-","10209.67"
"NIFTY SMALLCAP 500","29 Oct 2021","-","-","-","10100.43"
"NIFTY SMALLCAP 500","28 Oct 2021","-","-","-","10137.22"
"NIFTY SMALLCAP 500","27 Oct 2021","-","-","-","10307.57"
"NIFTY SMALLCAP 500","26 Oct 2021","-","-","-","10262.06"
"NIFTY SMALLCAP 500","25 Oct 2021","-","-","-","10020.12"
"NIFTY SMALLCAP 500","22 Oct 2021","-","-","-","10215.69"
"NIFTY SMALLCAP 500","21 Oct 2021","-","-","-","10331.10"
"NIFTY SMALLCAP 500","20 Oct 2021","-","-","-","10375.22"
"NIFTY SMALLCAP 500","19 Oct 2021","-","-","-","10589.04"
"NIFTY SMALLCAP 500","18 Oct 2021","-","-","-","10794.69"
"NIFTY SMALLCAP 500","14 Oct 2021","-","-","-","10712.66"
"NIFTY SMALLCAP 500","13 Oct 2021","-","-","-","10664.16"
"NIFTY SMALLCAP 500","12 Oct 2021","-","-","-","10618.64"
"NIFTY SMALLCAP 500","11 Oct 2021","-","-","-","10560.64"
"NIFTY SMALLCAP 500","08 Oct 2021","-","-","-","10458.16"
"NIFTY SMALLCAP 500","07 Oct 2021","-","-","-","10385.42"
"NIFTY SMALLCAP 500","06 Oct 2021","-","-","-","10271.49"
"NIFTY SMALLCAP 500","05 Oct 2021","-","-","-","10364.80"
"NIFTY SMALLCAP 500","04 Oct 2021","-","-","-","10295.20"
"NIFTY SMALLCAP 500","01 Oct 2021","-","-","-","10135.56"
"NIFTY SMALLCAP 500","30 Sep 2021","-","-","-","10100.52"
"NIFTY SMALLCAP 500","29 Sep 2021","-","-","-","10039.32"
"NIFTY SMALLCAP 500","28 Sep 2021","-","-","-","9999.20"
"NIFTY SMALLCAP 500","27 Sep 2021","-","-","-","10041.36"
"NIFTY SMALLCAP 500","24 Sep 2021","-","-","-","10023.60"
"NIFTY SMALLCAP 500","23 Sep 2021","-","-","-","10034.99"
"NIFTY SMALLCAP 500","22 Sep 2021","-","-","-","9954.35"
"NIFTY SMALLCAP 500","21 Sep 2021","-","-","-","9824.58"
"NIFTY SMALLCAP 500","20 Sep 2021","-","-","-","9814.16"
"NIFTY SMALLCAP 500","17 Sep 2021","-","-","-","10023.89"
"NIFTY SMALLCAP 500","16 Sep 2021","-","-","-","10090.02"
"NIFTY SMALLCAP 500","15 Sep 2021","-","-","-","10093.62"
"NIFTY SMALLCAP 500","14 Sep 2021","-","-","-","10016.66"
"NIFTY SMALLCAP 500","13 Sep 2021","-","-","-","9961.90"
"NIFTY SMALLCAP 500","09 Sep 2021","-","-","-","9881.91"
"NIFTY SMALLCAP 500","08 Sep 2021","-","-","-","9806.35"
"NIFTY SMALLCAP 500","07 Sep 2021","-","-","-","9732.70"
"NIFTY SMALLCAP 500","06 Sep 2021","-","-","-","9760.83"
"NIFTY SMALLCAP 500","03 Sep 2021","-","-","-","9695.08"
"NIFTY SMALLCAP 500","02 Sep 2021","-","-","-","9648.33"
"NIFTY SMALLCAP 500","01 Sep 2021","-","-","-","9552.19"
"NIFTY SMALLCAP 500","31 Aug 2021","-","-","-","9538.84"
"NIFTY SMALLCAP 500","30 Aug 2021","-","-","-","9491.78"
"NIFTY SMALLCAP 500","27 Aug 2021","-","-","-","9358.87"
"NIFTY SMALLCAP 500","26 Aug 2021","-","-","-","9286.64"
"NIFTY SMALLCAP 500","25 Aug 2021","-","-","-","9268.84"
"NIFTY SMALLCAP 500","24 Aug 2021","-","-","-","9199.66"
"NIFTY SMALLCAP 500","23 Aug 2021","-","-","-","8991.28"
"NIFTY SMALLCAP 500","20 Aug 2021","-","-","-","9202.45"
"NIFTY SMALLCAP 500","18 Aug 2021","-","-","-","9438.81"
"NIFTY SMALLCAP 500","17 Aug 2021","-","-","-","9487.98"
"NIFTY SMALLCAP 500","16 Aug 2021","-","-","-","9521.96"
"NIFTY SMALLCAP 500","13 Aug 2021","-","-","-","9604.60"
"NIFTY SMALLCAP 500","12 Aug 2021","-","-","-","9624.04"
"NIFTY SMALLCAP 500","11 Aug 2021","-","-","-","9391.70"
"NIFTY SMALLCAP 500","10 Aug 2021","-","-","-","9436.97"
"NIFTY SMALLCAP 500","09 Aug 2021","-","-","-","9714.00"
"NIFTY SMALLCAP 500","06 Aug 2021","-","-","-","9822.19"
"NIFTY SMALLCAP 500","05 Aug 2021","-","-","-","9808.52"
"NIFTY SMALLCAP 500","04 Aug 2021","-","-","-","9872.62"
"NIFTY SMALLCAP 500","03 Aug 2021","-","-","-","9995.16"
"NIFTY SMALLCAP 500","02 Aug 2021","-","-","-","10008.75"
"NIFTY SMALLCAP 500","30 Jul 2021","-","-","-","9917.13"
"NIFTY SMALLCAP 500","29 Jul 2021","-","-","-","9881.20"
"NIFTY SMALLCAP 500","28 Jul 2021","-","-","-","9784.58"
"NIFTY SMALLCAP 500","27 Jul 2021","-","-","-","9824.75"
"NIFTY SMALLCAP 500","26 Jul 2021","-","-","-","9819.74"
"NIFTY SMALLCAP 500","23 Jul 2021","-","-","-","9774.51"
"NIFTY SMALLCAP 500","22 Jul 2021","-","-","-","9793.03"
"NIFTY SMALLCAP 500","20 Jul 2021","-","-","-","9642.32"
"NIFTY SMALLCAP 500","19 Jul 2021","-","-","-","9813.83"
"NIFTY SMALLCAP 500","16 Jul 2021","-","-","-","9808.22"
"NIFTY SMALLCAP 500","15 Jul 2021","-","-","-","9737.99"
"NIFTY SMALLCAP 500","14 Jul 2021","-","-","-","9686.82"
"NIFTY SMALLCAP 500","13 Jul 2021","-","-","-","9663.52"
"NIFTY SMALLCAP 500","12 Jul 2021","-","-","-","9593.76"
"NIFTY SMALLCAP 500","09 Jul 2021","-","-","-","9487.53"
"NIFTY SMALLCAP 500","08 Jul 2021","-","-","-","9434.68"
"NIFTY SMALLCAP 500","07 Jul 2021","-","-","-","9443.68"
"NIFTY SMALLCAP 500","06 Jul 2021","-","-","-","9382.37"
"NIFTY SMALLCAP 500","05 Jul 2021","-","-","-","9431.02"
"NIFTY SMALLCAP 500","02 Jul 2021","-","-","-","9312.59"
"NIFTY SMALLCAP 500","01 Jul 2021","-","-","-","9213.48"
"NIFTY SMALLCAP 500","30 Jun 2021","-","-","-","9163.59"
"NIFTY SMALLCAP 500","29 Jun 2021","-","-","-","9113.24"
"NIFTY SMALLCAP 500","28 Jun 2021","-","-","-","9112.00"
"NIFTY SMALLCAP 500","25 Jun 2021","-","-","-","9059.58"
"NIFTY SMALLCAP 500","24 Jun 2021","-","-","-","9021.55"
"NIFTY SMALLCAP 500","23 Jun 2021","-","-","-","9039.42"
"NIFTY SMALLCAP 500","22 Jun 2021","-","-","-","9071.38"
"NIFTY SMALLCAP 500","21 Jun 2021","-","-","-","8990.61"
"NIFTY SMALLCAP 500","18 Jun 2021","-","-","-","8909.22"
"NIFTY SMALLCAP 500","17 Jun 2021","-","-","-","8987.17"
"NIFTY SMALLCAP 500","16 Jun 2021","-","-","-","9044.08"
"NIFTY SMALLCAP 500","15 Jun 2021","-","-","-","9093.13"
"NIFTY SMALLCAP 500","14 Jun 2021","-","-","-","9043.40"
"NIFTY SMALLCAP 500","11 Jun 2021","-","-","-","9067.54"
"NIFTY SMALLCAP 500","10 Jun 2021","-","-","-","9026.81"
"NIFTY SMALLCAP 500","09 Jun 2021","-","-","-","8875.32"
"NIFTY SMALLCAP 500","08 Jun 2021","-","-","-","8984.57"
"NIFTY SMALLCAP 500","07 Jun 2021","-","-","-","8938.14"
"NIFTY SMALLCAP 500","04 Jun 2021","-","-","-","8809.05"
"NIFTY SMALLCAP 500","03 Jun 2021","-","-","-","8748.09"
"NIFTY SMALLCAP 500","02 Jun 2021","-","-","-","8641.43"
"NIFTY SMALLCAP 500","01 Jun 2021","-","-","-","8523.40"
"NIFTY SMALLCAP 500","31 May 2021","-","-","-","8583.54"
"NIFTY SMALLCAP 500","28 May 2021","-","-","-","8550.68"
"NIFTY SMALLCAP 500","27 May 2021","-","-","-","8596.03"
"NIFTY SMALLCAP 500","26 May 2021","-","-","-","8554.96"
"NIFTY SMALLCAP 500","25 May 2021","-","-","-","8491.38"
"NIFTY SMALLCAP 500","24 May 2021","-","-","-","8468.38"
"NIFTY SMALLCAP 500","21 May 2021","-","-","-","8405.19"
"NIFTY SMALLCAP 500","20 May 2021","-","-","-","8342.21"
"NIFTY SMALLCAP 500","19 May 2021","-","-","-","8320.67"
"NIFTY SMALLCAP 500","18 May 2021","-","-","-","8269.90"
"NIFTY SMALLCAP 500","17 May 2021","-","-","-","8174.21"
"NIFTY SMALLCAP 500","14 May 2021","-","-","-","8054.98"
"NIFTY SMALLCAP 500","12 May 2021","-","-","-","8133.25"
"NIFTY SMALLCAP 500","11 May 2021","-","-","-","8191.49"
"NIFTY SMALLCAP 500","10 May 2021","-","-","-","8126.22"
"NIFTY SMALLCAP 500","07 May 2021","-","-","-","7991.81"
"NIFTY SMALLCAP 500","06 May 2021","-","-","-","7929.37"
"NIFTY SMALLCAP 500","05 May 2021","-","-","-","7866.67"
"NIFTY SMALLCAP 500","04 May 2021","-","-","-","7806.84"
"NIFTY SMALLCAP 500","03 May 2021","-","-","-","7855.72"
"NIFTY SMALLCAP 500","30 Apr 2021","-","-","-","7740.29"
"NIFTY SMALLCAP 500","29 Apr 2021","-","-","-","7755.69"
"NIFTY SMALLCAP 500","28 Apr 2021","-","-","-","7733.93"
"NIFTY SMALLCAP 500","27 Apr 2021","-","-","-","7664.52"
"NIFTY SMALLCAP 500","26 Apr 2021","-","-","-","7538.74"
"NIFTY SMALLCAP 500","23 Apr 2021","-","-","-","7456.53"
"NIFTY SMALLCAP 500","22 Apr 2021","-","-","-","7434.18"
"NIFTY SMALLCAP 500","20 Apr 2021","-","-","-","7371.27"
"NIFTY SMALLCAP 500","19 Apr 2021","-","-","-","7308.48"
"NIFTY SMALLCAP 500","16 Apr 2021","-","-","-","7457.30"
"NIFTY SMALLCAP 500","15 Apr 2021","-","-","-","7391.69"
"NIFTY SMALLCAP 500","13 Apr 2021","-","-","-","7416.60"
"NIFTY SMALLCAP 500","12 Apr 2021","-","-","-","7289.23"
"NIFTY SMALLCAP 500","09 Apr 2021","-","-","-","7717.64"
"NIFTY SMALLCAP 500","08 Apr 2021","-","-","-","7671.78"
"NIFTY SMALLCAP 500","07 Apr 2021","-","-","-","7585.14"
"NIFTY SMALLCAP 500","06 Apr 2021","-","-","-","7478.71"
"NIFTY SMALLCAP 500","05 Apr 2021","-","-","-","7403.48"
"NIFTY SMALLCAP 500","01 Apr 2021","-","-","-","7516.44"
"NIFTY SMALLCAP 500","31 Mar 2021","-","-","-","7356.09"
"NIFTY SMALLCAP 500","30 Mar 2021","-","-","-","7318.60"
"NIFTY SMALLCAP 500","26 Mar 2021","-","-","-","7229.80"
"NIFTY SMALLCAP 500","25 Mar 2021","-","-","-","7147.14"
"NIFTY SMALLCAP 500","24 Mar 2021","-","-","-","7289.35"
"NIFTY SMALLCAP 500","23 Mar 2021","-","-","-","7425.82"
"NIFTY SMALLCAP 500","22 Mar 2021","-","-","-","7374.22"
"NIFTY SMALLCAP 500","19 Mar 2021","-","-","-","7349.00"
"NIFTY SMALLCAP 500","18 Mar 2021","-","-","-","7316.38"
"NIFTY SMALLCAP 500","17 Mar 2021","-","-","-","7439.17"
"NIFTY SMALLCAP 500","16 Mar 2021","-","-","-","7613.11"
"NIFTY SMALLCAP 500","15 Mar 2021","-","-","-","7590.17"
"NIFTY SMALLCAP 500","12 Mar 2021","-","-","-","7641.13"
"NIFTY SMALLCAP 500","10 Mar 2021","-","-","-","7622.40"
"NIFTY SMALLCAP 500","09 Mar 2021","-","-","-","7544.42"
"NIFTY SMALLCAP 500","08 Mar 2021","-","-","-","7605.31"
"NIFTY SMALLCAP 500","05 Mar 2021","-","-","-","7552.87"
"NIFTY SMALLCAP 500","04 Mar 2021","-","-","-","7665.26"
"NIFTY SMALLCAP 500","03 Mar 2021","-","-","-","7593.49"
"NIFTY SMALLCAP 500","02 Mar 2021","-","-","-","7515.18"
"NIFTY SMALLCAP 500","01 Mar 2021","-","-","-","7425.67"
"NIFTY SMALLCAP 500","26 Feb 2021","-","-","-","7297.04"
"NIFTY SMALLCAP 500","25 Feb 2021","-","-","-","7369.15"
"NIFTY SMALLCAP 500","24 Feb 2021","-","-","-","7257.17"
"NIFTY SMALLCAP 500","23 Feb 2021","-","-","-","7166.71"
"NIFTY SMALLCAP 500","22 Feb 2021","-","-","-","7101.58"
"NIFTY SMALLCAP 500","19 Feb 2021","-","-","-","7175.89"
"NIFTY SMALLCAP 500","18 Feb 2021","-","-","-","7234.30"
"NIFTY SMALLCAP 500","17 Feb 2021","-","-","-","7174.98"
"NIFTY SMALLCAP 500","16 Feb 2021","-","-","-","7142.19"
"NIFTY SMALLCAP 500","15 Feb 2021","-","-","-","7132.78"
"NIFTY SMALLCAP 500","12 Feb 2021","-","-","-","7124.63"
"NIFTY SMALLCAP 500","11 Feb 2021","-","-","-","7131.60"
"NIFTY SMALLCAP 500","10 Feb 2021","-","-","-","7038.01"
"NIFTY SMALLCAP 500","09 Feb 2021","-","-","-","7008.01"
"NIFTY SMALLCAP 500","08 Feb 2021","-","-","-","7037.07"
"NIFTY SMALLCAP 500","05 Feb 2021","-","-","-","6935.53"
"NIFTY SMALLCAP 500","04 Feb 2021","-","-","-","6926.99"
"NIFTY SMALLCAP 500","03 Feb 2021","-","-","-","6843.94"
"NIFTY SMALLCAP 500","02 Feb 2021","-","-","-","6742.92"
"NIFTY SMALLCAP 500","01 Feb 2021","-","-","-","6659.46"
"NIFTY SMALLCAP 500","29 Jan 2021","-","-","-","6525.63"
"NIFTY SMALLCAP 500","28 Jan 2021","-","-","-","6547.77"
"NIFTY SMALLCAP 500","27 Jan 2021","-","-","-","6564.82"
"NIFTY SMALLCAP 500","25 Jan 2021","-","-","-","6581.49"
"NIFTY SMALLCAP 500","22 Jan 2021","-","-","-","6653.65"
"NIFTY SMALLCAP 500","21 Jan 2021","-","-","-","6707.62"
"NIFTY SMALLCAP 500","20 Jan 2021","-","-","-","6743.58"
"NIFTY SMALLCAP 500","19 Jan 2021","-","-","-","6709.59"
"NIFTY SMALLCAP 500","18 Jan 2021","-","-","-","6599.88"
"NIFTY SMALLCAP 500","15 Jan 2021","-","-","-","6729.55"
"NIFTY SMALLCAP 500","14 Jan 2021","-","-","-","6800.12"
"NIFTY SMALLCAP 500","13 Jan 2021","-","-","-","6771.59"
"NIFTY SMALLCAP 500","12 Jan 2021","-","-","-","6790.67"
"NIFTY SMALLCAP 500","11 Jan 2021","-","-","-","6766.33"
"NIFTY SMALLCAP 500","08 Jan 2021","-","-","-","6774.95"
"NIFTY SMALLCAP 500","07 Jan 2021","-","-","-","6731.14"
"NIFTY SMALLCAP 500","06 Jan 2021","-","-","-","6656.27"
"NIFTY SMALLCAP 500","05 Jan 2021","-","-","-","6668.94"
"NIFTY SMALLCAP 500","04 Jan 2021","-","-","-","6631.10"
"NIFTY SMALLCAP 500","01 Jan 2021","-","-","-","6544.28"
