"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 100","31 Dec 2009","7460.35","7476.70","7424.90","7432.80"
"NIFTY MIDCAP 100","30 Dec 2009","7430.75","7451.50","7410.70","7418.55"
"NIFTY MIDCAP 100","29 Dec 2009","7406.45","7437.10","7390.95","7413.90"
"NIFTY MIDCAP 100","24 Dec 2009","7387.40","7413.10","7360.90","7392.85"
"NIFTY MIDCAP 100","23 Dec 2009","7251.95","7346.70","7251.95","7341.60"
"NIFTY MIDCAP 100","22 Dec 2009","7208.85","7247.05","7204.45","7225.20"
"NIFTY MIDCAP 100","21 Dec 2009","7211.90","7236.70","7152.15","7158.10"
"NIFTY MIDCAP 100","18 Dec 2009","7231.30","7268.60","7163.80","7180.40"
"NIFTY MIDCAP 100","17 Dec 2009","7183.70","7251.15","7178.40","7238.60"
"NIFTY MIDCAP 100","16 Dec 2009","7152.10","7191.80","7106.75","7176.90"
"NIFTY MIDCAP 100","15 Dec 2009","7304.45","7305.75","7144.40","7156.00"
"NIFTY MIDCAP 100","14 Dec 2009","7322.70","7348.25","7253.75","7268.50"
"NIFTY MIDCAP 100","11 Dec 2009","7416.65","7423.00","7300.00","7317.75"
"NIFTY MIDCAP 100","10 Dec 2009","7342.40","7374.05","7331.55","7363.95"
"NIFTY MIDCAP 100","09 Dec 2009","7349.40","7403.75","7322.90","7336.10"
"NIFTY MIDCAP 100","08 Dec 2009","7313.45","7388.15","7308.10","7385.75"
"NIFTY MIDCAP 100","07 Dec 2009","7363.65","7393.90","7281.15","7294.10"
"NIFTY MIDCAP 100","04 Dec 2009","7332.40","7391.55","7322.90","7351.80"
"NIFTY MIDCAP 100","03 Dec 2009","7349.40","7412.30","7315.80","7350.60"
"NIFTY MIDCAP 100","02 Dec 2009","7333.20","7351.30","7293.60","7307.20"
"NIFTY MIDCAP 100","01 Dec 2009","7204.65","7274.85","7201.15","7269.10"
"NIFTY MIDCAP 100","30 Nov 2009","7142.15","7189.55","7126.30","7149.20"
"NIFTY MIDCAP 100","27 Nov 2009","6992.70","7049.15","6853.05","7037.00"
"NIFTY MIDCAP 100","26 Nov 2009","7253.85","7256.40","7132.80","7143.75"
"NIFTY MIDCAP 100","25 Nov 2009","7263.35","7315.40","7215.85","7231.55"
"NIFTY MIDCAP 100","24 Nov 2009","7216.85","7262.20","7177.85","7230.90"
