"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","31 Dec 2009","4334.40","4346.40","4322.15","4329.10"
"NIFTY 500","30 Dec 2009","4318.05","4321.60","4298.85","4306.85"
"NIFTY 500","29 Dec 2009","4313.45","4327.25","4304.75","4310.25"
"NIFTY 500","24 Dec 2009","4300.00","4314.60","4273.10","4300.35"
"NIFTY 500","23 Dec 2009","4189.00","4277.85","4189.00","4274.85"
"NIFTY 500","22 Dec 2009","4154.60","4174.75","4150.50","4168.60"
"NIFTY 500","21 Dec 2009","4159.30","4169.40","4128.00","4132.35"
"NIFTY 500","18 Dec 2009","4174.15","4197.35","4147.55","4153.05"
"NIFTY 500","17 Dec 2009","4177.25","4201.75","4168.90","4189.45"
"NIFTY 500","16 Dec 2009","4169.15","4191.75","4146.60","4177.30"
"NIFTY 500","15 Dec 2009","4243.20","4244.40","4161.70","4173.15"
"NIFTY 500","14 Dec 2009","4241.20","4263.25","4221.65","4231.35"
"NIFTY 500","11 Dec 2009","4291.20","4294.05","4222.95","4242.90"
"NIFTY 500","10 Dec 2009","4242.85","4266.75","4233.05","4258.25"
"NIFTY 500","09 Dec 2009","4234.10","4271.15","4230.15","4238.70"
"NIFTY 500","08 Dec 2009","4209.65","4256.85","4201.95","4255.00"
"NIFTY 500","07 Dec 2009","4243.95","4253.85","4190.55","4199.70"
"NIFTY 500","04 Dec 2009","4224.20","4271.55","4220.90","4238.85"
"NIFTY 500","03 Dec 2009","4245.80","4276.95","4229.70","4247.15"
"NIFTY 500","02 Dec 2009","4247.50","4249.30","4218.15","4224.10"
"NIFTY 500","01 Dec 2009","4176.15","4220.15","4176.15","4216.40"
"NIFTY 500","30 Nov 2009","4132.60","4166.95","4124.50","4145.45"
"NIFTY 500","27 Nov 2009","4033.05","4075.85","3967.05","4069.05"
"NIFTY 500","26 Nov 2009","4184.70","4195.35","4112.80","4121.35"
"NIFTY 500","25 Nov 2009","4181.40","4216.90","4177.05","4184.60"
"NIFTY 500","24 Nov 2009","4185.90","4196.55","4153.00","4178.90"
"NIFTY 500","23 Nov 2009","4166.85","4185.35","4157.00","4180.80"
