"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","31 Dec 2009","5171.20","5221.85","5168.75","5201.05"
"NIFTY 50","30 Dec 2009","5188.75","5197.05","5160.10","5169.45"
"NIFTY 50","29 Dec 2009","5180.75","5214.60","5175.85","5187.95"
"NIFTY 50","24 Dec 2009","5144.80","5197.90","5129.05","5178.40"
"NIFTY 50","23 Dec 2009","4990.05","5150.60","4990.05","5144.60"
"NIFTY 50","22 Dec 2009","4953.35","4997.30","4953.35","4985.85"
"NIFTY 50","21 Dec 2009","4983.65","4997.85","4943.95","4952.60"
"NIFTY 50","18 Dec 2009","5042.00","5043.40","4979.05","4987.70"
"NIFTY 50","17 Dec 2009","5046.65","5064.20","5013.15","5041.75"
"NIFTY 50","16 Dec 2009","5032.95","5067.25","5001.80","5042.05"
"NIFTY 50","15 Dec 2009","5105.75","5129.45","5018.25","5033.05"
"NIFTY 50","14 Dec 2009","5117.45","5156.70","5090.15","5105.70"
"NIFTY 50","11 Dec 2009","5136.05","5182.55","5088.40","5117.30"
"NIFTY 50","10 Dec 2009","5112.40","5146.45","5084.65","5134.65"
"NIFTY 50","09 Dec 2009","5147.65","5147.65","5090.60","5112.00"
"NIFTY 50","08 Dec 2009","5068.55","5152.55","5058.90","5147.95"
"NIFTY 50","07 Dec 2009","5108.85","5131.30","5051.55","5066.70"
"NIFTY 50","04 Dec 2009","5131.70","5161.80","5081.85","5108.90"
"NIFTY 50","03 Dec 2009","5124.55","5181.00","5106.60","5131.70"
"NIFTY 50","02 Dec 2009","5122.75","5161.75","5111.75","5123.25"
"NIFTY 50","01 Dec 2009","5039.70","5130.35","5038.85","5122.00"
"NIFTY 50","30 Nov 2009","4942.25","5066.35","4942.25","5032.70"
"NIFTY 50","27 Nov 2009","5005.05","5005.05","4806.70","4941.75"
"NIFTY 50","26 Nov 2009","5116.45","5116.45","4986.05","5005.55"
"NIFTY 50","25 Nov 2009","5091.55","5138.00","5078.35","5108.15"
"NIFTY 50","24 Nov 2009","5105.00","5112.85","5053.50","5090.55"
"NIFTY 50","23 Nov 2009","5052.95","5113.10","5052.10","5103.55"
"NIFTY 50","20 Nov 2009","4988.75","5063.30","4932.80","5052.45"
"NIFTY 50","19 Nov 2009","5043.95","5053.45","4963.70","4989.00"
"NIFTY 50","18 Nov 2009","5061.50","5079.30","5041.65","5054.70"
"NIFTY 50","17 Nov 2009","5058.95","5074.00","5010.15","5062.25"
"NIFTY 50","16 Nov 2009","4996.50","5073.20","4994.00","5058.05"
"NIFTY 50","13 Nov 2009","4952.35","5017.90","4942.65","4998.95"
"NIFTY 50","12 Nov 2009","5004.40","5014.40","4924.75","4952.65"
